Date,Close
9/23/2014,18.81
9/24/2014,18.92
9/25/2014,18.51
9/26/2014,18.55
9/29/2014,18.52
9/30/2014,18.45
10/1/2014,18.27
10/2/2014,18.19
10/3/2014,18.23
10/6/2014,18.12
10/7/2014,17.93
10/8/2014,18.26
10/9/2014,17.91
10/10/2014,16.85
10/13/2014,16.79
10/14/2014,17.18
10/15/2014,17.44
10/16/2014,17.45
10/17/2014,17.42
10/20/2014,17.57
10/21/2014,18.32
10/22/2014,17.89
10/23/2014,18.29
10/24/2014,18.48
10/27/2014,18.49
10/28/2014,18.93
10/29/2014,18.81
10/30/2014,18.69
10/31/2014,19.54
11/3/2014,19.87
11/4/2014,20.13
11/5/2014,20.13
11/6/2014,20.22
11/7/2014,19.79
11/10/2014,20.02
11/11/2014,19.78
11/12/2014,19.65
11/13/2014,19.55
11/14/2014,19.79
11/17/2014,19.7
11/18/2014,20.17
11/19/2014,20.01
11/20/2014,20.34
11/21/2014,20.45
11/24/2014,20.58
11/25/2014,20.57
11/26/2014,20.92
11/28/2014,20.97
12/1/2014,20.58
12/2/2014,20.61
12/3/2014,21.14
12/4/2014,20.95
12/5/2014,21.07
12/8/2014,20.8
12/9/2014,20.73
12/10/2014,20.27
12/11/2014,20.26
12/12/2014,19.63
12/15/2014,19.57
12/16/2014,19.35
12/17/2014,20.14
12/18/2014,20.22
12/19/2014,20.42
12/22/2014,20.78
12/23/2014,20.65
12/24/2014,20.57
12/26/2014,20.59
12/29/2014,20.56
12/30/2014,20.37
12/31/2014,20.05
1/2/2015,20.13
1/5/2015,19.79
1/6/2015,19.19
1/7/2015,19.14
1/8/2015,19.86
1/9/2015,19.94
1/12/2015,19.69
1/13/2015,19.66
1/14/2015,19.74
1/15/2015,19.6
1/16/2015,19.96
1/20/2015,20.02
1/21/2015,20.3
1/22/2015,20.65
1/23/2015,20.71
1/26/2015,20.62
1/27/2015,19.63
1/28/2015,19.31
1/29/2015,19.78
1/30/2015,19.2
2/2/2015,19.62
2/3/2015,20.11
2/4/2015,20.16
2/5/2015,20.49
2/6/2015,20.4
2/9/2015,20.38
2/10/2015,20.95
2/11/2015,20.81
2/12/2015,22.3
2/13/2015,22.31
2/17/2015,22.38
2/18/2015,22.12
2/19/2015,22.18
2/20/2015,22.34
2/23/2015,22.16
2/24/2015,22.31
2/25/2015,22.14
2/26/2015,22.2
2/27/2015,22.06
3/2/2015,22.6
3/3/2015,22.18
3/4/2015,22.43
3/5/2015,22.86
3/6/2015,22.55
3/9/2015,22.61
3/10/2015,23
3/11/2015,22.88
3/12/2015,22.67
3/13/2015,22.7
3/16/2015,22.97
3/17/2015,23.25
3/18/2015,22.87
3/19/2015,23.22
3/20/2015,23.47
3/23/2015,22.71
3/24/2015,22.4
3/25/2015,21.04
3/26/2015,20.97
3/27/2015,21.38
3/30/2015,21.47
3/31/2015,20.93
4/1/2015,21.01
4/2/2015,21.06
4/6/2015,21.67
4/7/2015,21.86
4/8/2015,22.02
4/9/2015,22.53
4/10/2015,22.76
4/13/2015,22.55
4/14/2015,22.36
4/15/2015,22.63
4/16/2015,22.49
4/17/2015,22.2
4/20/2015,22.09
4/21/2015,22.06
4/22/2015,22.31
4/23/2015,22.22
4/24/2015,22.03
4/27/2015,22.2
4/28/2015,22.31
4/29/2015,22.14
4/30/2015,22.2
5/1/2015,22.75
5/4/2015,22.61
5/5/2015,22.03
5/6/2015,22.1
5/7/2015,22.49
5/8/2015,20.83
5/11/2015,20.63
5/12/2015,20.83
5/13/2015,20.95
5/14/2015,21.29
5/15/2015,21.3
5/18/2015,21.27
5/19/2015,21.04
5/20/2015,21.04
5/21/2015,20.89
5/22/2015,20.86
5/26/2015,20.73
5/27/2015,21.84
5/28/2015,22.14
5/29/2015,22.13
6/1/2015,22.38
6/2/2015,21.94
6/3/2015,21.7
6/4/2015,22.09
6/5/2015,22.26
6/8/2015,21.75
6/9/2015,21.86
6/10/2015,21.47
6/11/2015,21.7
6/12/2015,21.11
6/15/2015,21.07
6/16/2015,21.33
6/17/2015,21.58
6/18/2015,21.94
6/19/2015,21.87
6/22/2015,21.78
6/23/2015,21.22
6/24/2015,21.01
6/25/2015,21.17
6/26/2015,20.74
6/29/2015,20.12
6/30/2015,20.11
7/1/2015,20.4
7/2/2015,20.42
7/6/2015,20.17
7/7/2015,19.79
7/8/2015,19.65
7/9/2015,19.41
7/10/2015,19.75
7/13/2015,19.88
7/14/2015,19.89
7/15/2015,19.75
7/16/2015,20.19
7/17/2015,20.07
7/20/2015,19.7
7/21/2015,19.79
7/22/2015,19.41
7/23/2015,19.65
7/24/2015,19.42
7/27/2015,19.31
7/28/2015,19.73
7/29/2015,19.97
7/30/2015,20.02
7/31/2015,19.95
8/3/2015,20.29
8/4/2015,20.37
8/5/2015,20.58
8/6/2015,20.45
